Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
46760420,07/06/2020 12:12:04 AM,07/06/2020 12:37:09 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10472,1990 ELLIS AVENUE,ELLIS AVENUE,VIRGINIA AVENUE,PUGSLEY AVENUE,VIRGINIA AVENUE,PUGSLEY AVENUE,,BRONX,ELLIS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:37:13 AM,09 BRONX,2037930039,BRONX,1023515,242322,MOBILE,Unspecified,BRONX,,,,,,,,40.831706041426315,-73.85811228962753,"(40.831706041426315, -73.85811228962753)"
46756086,07/06/2020 12:12:17 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46759907,07/06/2020 12:12:19 AM,07/06/2020 12:16:14 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11365,65 AVENUE,65 AVENUE,65 AVENUE,164 STREET,65 AVENUE,164 STREET,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:16:17 AM,08 QUEENS,,QUEENS,1038361,207763,ONLINE,Unspecified,QUEENS,,,,,,,,40.73677255530371,-73.80474341379092,"(40.73677255530371, -73.80474341379092)"
46756011,07/06/2020 12:12:31 AM,07/06/2020 12:33:02 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10471,OLD ALBANY POST ROAD,OLD ALBANY POST ROAD,OLD ALBANY POST ROAD,WEST  251 STREET,OLD ALBANY POST ROAD,WEST  251 STREET,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:33:05 AM,08 BRONX,,BRONX,1012643,265641,MOBILE,Unspecified,BRONX,,,,,,,,40.895751237993515,-73.89730043145191,"(40.895751237993515, -73.89730043145191)"
46767705,07/06/2020 12:12:36 AM,07/06/2020 01:12:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226,287 LINDEN BOULEVARD,LINDEN BOULEVARD,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,,BROOKLYN,LINDEN BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:12:58 AM,17 BROOKLYN,3048530090,BROOKLYN,998557,177085,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.652722537752325,-73.9484390524703,"(40.652722537752325, -73.9484390524703)"
46763308,07/06/2020 12:12:40 AM,07/06/2020 12:48:23 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10009,108 AVENUE D,AVENUE D,EAST    7 STREET,EAST    8 STREET,EAST    7 STREET,EAST    8 STREET,,NEW YORK,AVENUE D,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:48:25 AM,03 MANHATTAN,1003620001,MANHATTAN,990857,202865,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7234918055945,-73.97616377204547,"(40.7234918055945, -73.97616377204547)"
46757674,07/06/2020 12:12:48 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46757572,07/06/2020 12:12:50 AM,,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11422,135-60 234 STREET,234 STREET,135 AVENUE,137 AVENUE,135 AVENUE,137 AVENUE,,ROSEDALE,234 STREET,,In Progress,,,,13 QUEENS,4131680004,QUEENS,1057007,184203,ONLINE,Unspecified,QUEENS,,,,,,,,40.67197245665872,-73.73771524495417,"(40.67197245665872, -73.73771524495417)"
46756730,07/06/2020 12:12:55 AM,,DOT,Department of Transportation,Outdoor Dining,Street Zone Blocked,Street,11238,603 VANDERBILT AVENUE,VANDERBILT AVENUE,BERGEN STREET,ST MARKS AVENUE,BERGEN STREET,ST MARKS AVENUE,,BROOKLYN,VANDERBILT AVENUE,,In Progress,,,,08 BROOKLYN,3011450013,BROOKLYN,993053,186760,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.679285443031105,-73.9682622635774,"(40.679285443031105, -73.9682622635774)"
46756600,07/06/2020 12:12:57 AM,07/06/2020 12:48:01 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10009,90 AVENUE D,AVENUE D,EAST    7 STREET,EAST    8 STREET,EAST    7 STREET,EAST    8 STREET,,NEW YORK,AVENUE D,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:48:05 AM,03 MANHATTAN,1003620001,MANHATTAN,990780,202727,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.723113086193166,-73.97644170062286,"(40.723113086193166, -73.97644170062286)"
46766159,07/06/2020 12:12:58 AM,07/06/2020 12:45:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11233,1466 HERKIMER STREET,HERKIMER STREET,JARDINE PLACE,HAVENS PLACE,JARDINE PLACE,HAVENS PLACE,,BROOKLYN,HERKIMER STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:45:06 AM,16 BROOKLYN,3015740011,BROOKLYN,1010599,186010,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67719202539385,-73.90500607605064,"(40.67719202539385, -73.90500607605064)"
46756606,07/06/2020 12:13:02 AM,07/06/2020 12:26:17 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11208,515 FOUNTAIN AVENUE,FOUNTAIN AVENUE,HEGEMAN AVENUE,LINDEN BOULEVARD,HEGEMAN AVENUE,LINDEN BOULEVARD,,BROOKLYN,FOUNTAIN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:26:18 AM,05 BROOKLYN,3042920061,BROOKLYN,1019651,182481,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66747415024469,-73.87239020533126,"(40.66747415024469, -73.87239020533126)"
46756436,07/06/2020 12:13:03 AM,07/06/2020 12:52:36 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11221,370 WILSON AVENUE,WILSON AVENUE,GATES AVENUE,PALMETTO STREET,GATES AVENUE,PALMETTO STREET,,BROOKLYN,WILSON AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,07/06/2020 04:52:39 AM,04 BROOKLYN,3033420038,BROOKLYN,1007615,192500,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69501396084529,-73.91574153739707,"(40.69501396084529, -73.91574153739707)"
46754624,07/06/2020 12:13:03 AM,07/06/2020 12:19:44 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Park/Playground,11219,12 AVENUE,12 AVENUE,12 AVENUE,BAY RIDGE AVENUE,12 AVENUE,BAY RIDGE AVENUE,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:19:47 AM,10 BROOKLYN,,BROOKLYN,982558,166993,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.625033550488624,-74.00609526284424,"(40.625033550488624, -74.00609526284424)"
46766531,07/06/2020 12:13:10 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1261 MERRIAM AVENUE,MERRIAM AVENUE,BEND,WEST  169 STREET,BEND,WEST  169 STREET,,BRONX,MERRIAM AVENUE,,In Progress,,,,04 BRONX,2025290063,BRONX,1004632,245169,PHONE,Unspecified,BRONX,,,,,,,,40.83958399448666,-73.92633905901447,"(40.83958399448666, -73.92633905901447)"
46766898,07/06/2020 12:13:20 AM,07/06/2020 12:16:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,321 EDGECOMBE AVENUE,EDGECOMBE AVENUE,WEST  145 STREET,WEST  150 STREET,WEST  145 STREET,WEST  150 STREET,,NEW YORK,EDGECOMBE AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,07/06/2020 04:17:00 AM,09 MANHATTAN,1020530033,MANHATTAN,1000118,239957,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.825287821475726,-73.9426650656095,"(40.825287821475726, -73.9426650656095)"
46764503,07/06/2020 12:13:20 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46766630,07/06/2020 12:13:21 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1261 MERRIAM AVENUE,MERRIAM AVENUE,BEND,WEST  169 STREET,BEND,WEST  169 STREET,,BRONX,MERRIAM AVENUE,,In Progress,,,,04 BRONX,2025290063,BRONX,1004632,245169,ONLINE,Unspecified,BRONX,,,,,,,,40.83958399448666,-73.92633905901447,"(40.83958399448666, -73.92633905901447)"
46754797,07/06/2020 12:13:33 AM,07/06/2020 12:55:38 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11216,GREENE AVENUE,GREENE AVENUE,GREENE AVENUE,MARCY AVENUE,GREENE AVENUE,MARCY AVENUE,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:55:41 AM,03 BROOKLYN,,BROOKLYN,998701,190220,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.688774933300735,-73.94789193251222,"(40.688774933300735, -73.94789193251222)"
46767670,07/06/2020 12:13:35 AM,07/06/2020 12:28:47 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11106,34-05 12 STREET,12 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,,ASTORIA,12 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:28:50 AM,01 QUEENS,4005230002,QUEENS,1001679,217663,MOBILE,Unspecified,QUEENS,,,,,,,,40.7640939040762,-73.93708265390595,"(40.7640939040762, -73.93708265390595)"
46763329,07/06/2020 12:13:37 AM,07/06/2020 12:50:29 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,10009,819 FRANKLIN D ROOSEVELT DRIVE,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,EAST   10 STREET,EAST    6 STREET,EAST   10 STREET,,NEW YORK,FRANKLIN D ROOSEVELT DRIVE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:50:36 AM,03 MANHATTAN,1003620010,MANHATTAN,991459,202825,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.723381545179556,-73.97399196557704,"(40.723381545179556, -73.97399196557704)"
46767135,07/06/2020 12:13:38 AM,07/06/2020 12:15:25 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11106,31-50 33 STREET,33 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,,ASTORIA,33 STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,07/06/2020 04:15:27 AM,01 QUEENS,4006140061,QUEENS,1005620,217044,ONLINE,Unspecified,QUEENS,,,,,,,,40.762386261386,-73.92285792230227,"(40.762386261386, -73.92285792230227)"
46764050,07/06/2020 12:13:48 AM,07/06/2020 12:49:58 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,245 EAST  178 STREET,EAST  178 STREET,GRAND CONCOURSE,ANTHONY AVENUE,GRAND CONCOURSE,ANTHONY AVENUE,,BRONX,EAST  178 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:50:00 AM,05 BRONX,2028110001,BRONX,1010825,249080,MOBILE,Unspecified,BRONX,,,,,,,,40.850302070037515,-73.90394195382123,"(40.850302070037515, -73.90394195382123)"
46768154,07/06/2020 12:13:52 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46763714,07/06/2020 12:14:03 AM,07/06/2020 12:49:48 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10009,911 FRANKLIN D ROOSEVELT DRIVE,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,EAST   10 STREET,EAST    6 STREET,EAST   10 STREET,,NEW YORK,FRANKLIN D ROOSEVELT DRIVE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:49:56 AM,03 MANHATTAN,1003620010,MANHATTAN,991526,202965,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7237657563996,-73.97375009717317,"(40.7237657563996, -73.97375009717317)"
46765157,07/06/2020 12:14:11 AM,07/06/2020 12:16:48 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,10460,1801 ARCHER STREET,ARCHER STREET,BEACH AVENUE,TAYLOR AVENUE,BEACH AVENUE,TAYLOR AVENUE,,BRONX,ARCHER STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/06/2020 04:16:52 AM,09 BRONX,2039200029,BRONX,1021015,244438,ONLINE,Unspecified,BRONX,,,,,,,,40.83752460469645,-73.86713465880064,"(40.83752460469645, -73.86713465880064)"
46762946,07/06/2020 12:14:12 AM,07/06/2020 12:51:42 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,10453,2264 CRESTON AVENUE,CRESTON AVENUE,EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,,BRONX,CRESTON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:51:45 AM,05 BRONX,2031630011,BRONX,1011549,251563,PHONE,Unspecified,BRONX,,,,,,,,40.857114952859746,-73.90131487311312,"(40.857114952859746, -73.90131487311312)"
46762253,07/06/2020 12:14:13 AM,07/06/2020 12:25:23 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,WEST  186 STREET,WEST  186 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:25:38 AM,Unspecified MANHATTAN,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,,,,,,,
46764158,07/06/2020 12:14:17 AM,,MAYORâS OFFICE OF SPECIAL ENFORCEMENT,Mayorâs Office of Special Enforcement,NonCompliance with Phased Reopening,Business not in compliance,Store/Commercial,10467,12 EAST GUNHILL ROAD,EAST GUNHILL ROAD,JEROME AVENUE,DEKALB AVENUE,JEROME AVENUE,DEKALB AVENUE,,BRONX,EAST GUN HILL ROAD,,In Progress,,,,07 BRONX,2033270115,BRONX,1017178,260818,PHONE,Unspecified,BRONX,,,,,,,,40.88249787687429,-73.88092073667863,"(40.88249787687429, -73.88092073667863)"
46757433,07/06/2020 12:14:24 AM,07/06/2020 12:46:23 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10457,273 EAST  176 STREET,EAST  176 STREET,CLAY AVENUE,ANTHONY AVENUE,CLAY AVENUE,ANTHONY AVENUE,,BRONX,EAST  176 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:46:26 AM,05 BRONX,2028020039,BRONX,1010740,248013,ONLINE,Unspecified,BRONX,,,,,,,,40.847373727319145,-73.90425341032298,"(40.847373727319145, -73.90425341032298)"
46764607,07/06/2020 12:14:25 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46757045,07/06/2020 12:14:32 AM,,MAYORâS OFFICE OF SPECIAL ENFORCEMENT,Mayorâs Office of Special Enforcement,NonCompliance with Phased Reopening,Business not in compliance,Store/Commercial,11103,32-16 STEINWAY STREET,STEINWAY STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,,ASTORIA,STEINWAY STREET,,In Progress,,,,01 QUEENS,4006560044,QUEENS,1006591,215646,ONLINE,Unspecified,QUEENS,,,,,,,,40.75854671121321,-73.91935742470702,"(40.75854671121321, -73.91935742470702)"
46760504,07/06/2020 12:14:33 AM,07/06/2020 12:16:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,301 WEST  203 STREET,WEST  203 STREET,DEAD END,9 AVENUE,DEAD END,9 AVENUE,,NEW YORK,WEST  203 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:16:42 AM,12 MANHATTAN,1021850001,MANHATTAN,1006905,252910,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86082520026947,-73.91809824059416,"(40.86082520026947, -73.91809824059416)"
46756983,07/06/2020 12:14:39 AM,07/06/2020 12:57:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10026,243 WEST  115 STREET,WEST  115 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,,NEW YORK,WEST  115 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:57:59 AM,10 MANHATTAN,1018310008,MANHATTAN,996691,231985,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80341240357177,-73.95506242261405,"(40.80341240357177, -73.95506242261405)"
46758148,07/06/2020 12:14:41 AM,07/06/2020 12:58:04 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,10303,310 GRANDVIEW AVENUE,GRANDVIEW AVENUE,ROXBURY STREET,BRABANT STREET,ROXBURY STREET,BRABANT STREET,,STATEN ISLAND,GRANDVIEW AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:58:06 AM,01 STATEN ISLAND,5012610093,STATEN ISLAND,938388,169835,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.63271567955126,-74.16523244025758,"(40.63271567955126, -74.16523244025758)"
46759421,07/06/2020 12:14:56 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46765160,07/06/2020 12:15:01 AM,07/06/2020 12:31:15 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10034,600 WEST  218 STREET,WEST  218 STREET,SEAMAN AVENUE,INDIAN ROAD,SEAMAN AVENUE,INDIAN ROAD,,NEW YORK,WEST  218 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:31:18 AM,12 MANHATTAN,1022500058,MANHATTAN,1006878,257309,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.87289918174896,-73.91818099611028,"(40.87289918174896, -73.91818099611028)"
46766409,07/06/2020 12:15:17 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,UNIVERSITY AVENUE,UNIVERSITY AVENUE,UNIVERSITY AVENUE,WEST  170 STREET,UNIVERSITY AVENUE,WEST  170 STREET,,,,,In Progress,,,,04 BRONX,,BRONX,1004661,246085,ONLINE,Unspecified,BRONX,,,,,,,,40.84209807956513,-73.92623146467268,"(40.84209807956513, -73.92623146467268)"
46755757,07/06/2020 12:15:20 AM,,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11422,134 ROAD,134 ROAD,134 ROAD,LAURELTON PARKWAY,134 ROAD,LAURELTON PARKWAY,,,,,In Progress,,,,13 QUEENS,,QUEENS,1057587,184627,ONLINE,Unspecified,QUEENS,,,,,,,,40.67313145055764,-73.73561977813063,"(40.67313145055764, -73.73561977813063)"
46761572,07/06/2020 12:15:21 AM,07/06/2020 12:24:05 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11212,324 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,KINGS HIGHWAY,LENOX ROAD,KINGS HIGHWAY,LENOX ROAD,,BROOKLYN,ROCKAWAY PARKWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:24:08 AM,17 BROOKLYN,,BROOKLYN,1006828,179656,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65976214117513,-73.91862263064202,"(40.65976214117513, -73.91862263064202)"
46759505,07/06/2020 12:15:22 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,10456,1290 GRAND CONCOURSE,GRAND CONCOURSE,EAST  169 STREET,EAST CLARKE PLACE,EAST  169 STREET,EAST CLARKE PLACE,,BRONX,GRAND CONCOURSE,,In Progress,,,,04 BRONX,2028310001,BRONX,1007577,244066,PHONE,Unspecified,BRONX,,,,,,,,40.83654929278299,-73.91569961462228,"(40.83654929278299, -73.91569961462228)"
46759180,07/06/2020 12:15:23 AM,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,,,,,,,,,,,,In Progress,,,,0 Unspecified,,Unspecified,,,UNKNOWN,Unspecified,Unspecified,,,,,,,,,,
46761054,07/06/2020 12:15:28 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46759866,07/06/2020 12:15:32 AM,07/06/2020 12:23:48 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11210,1413 NEW YORK AVENUE,NEW YORK AVENUE,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,,BROOKLYN,NEW YORK AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:23:50 AM,17 BROOKLYN,3049810001,BROOKLYN,999431,171799,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63821215567179,-73.94530114333179,"(40.63821215567179, -73.94530114333179)"
46762523,07/06/2020 12:15:44 AM,,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10462,2161 BARNES AVENUE,BARNES AVENUE,LYDIG AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,PELHAM PARKWAY SOUTH,,BRONX,BARNES AVENUE,,In Progress,,,,11 BRONX,2043210058,BRONX,1021914,250984,ONLINE,Unspecified,BRONX,,,,,,,,40.85548763862657,-73.86384899122169,"(40.85548763862657, -73.86384899122169)"
46755201,07/06/2020 12:15:48 AM,07/06/2020 01:08:23 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11208,393 ESSEX STREET,ESSEX STREET,GLENMORE AVENUE,PITKIN AVENUE,GLENMORE AVENUE,PITKIN AVENUE,,BROOKLYN,ESSEX STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,07/06/2020 05:08:26 AM,05 BROOKLYN,3040040140,BROOKLYN,1017037,185006,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6744147701245,-73.88180058361824,"(40.6744147701245, -73.88180058361824)"
46760657,07/06/2020 12:15:52 AM,07/06/2020 12:42:04 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10457,463 EAST  178 STREET,EAST  178 STREET,EAST  178 ST FOOTBRIDGE,WASHINGTON AVENUE,EAST  178 ST FOOTBRIDGE,WASHINGTON AVENUE,,BRONX,EAST  178 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:42:05 AM,06 BRONX,2030350048,BRONX,1012509,248422,ONLINE,Unspecified,BRONX,,,,,,,,40.84849082665374,-73.89785774285947,"(40.84849082665374, -73.89785774285947)"
46757894,07/06/2020 12:15:55 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11208,445 AMBER STREET,AMBER STREET,LORING AVENUE,STANLEY AVENUE,LORING AVENUE,STANLEY AVENUE,,BROOKLYN,AMBER STREET,,In Progress,,,07/06/2020 01:38:00 AM,05 BROOKLYN,3045190137,BROOKLYN,1023755,182583,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.66773675598989,-73.85759596554853,"(40.66773675598989, -73.85759596554853)"
46763788,07/06/2020 12:15:58 AM,07/06/2020 12:46:43 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,2024 HUGHES AVENUE,HUGHES AVENUE,EAST  179 STREET,EAST  180 STREET,EAST  179 STREET,EAST  180 STREET,,BRONX,HUGHES AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:46:46 AM,06 BRONX,2030800004,BRONX,1014373,248175,MOBILE,Unspecified,BRONX,,,,,,,,40.84780672265709,-73.89112142455886,"(40.84780672265709, -73.89112142455886)"
